name,parent,value
AGM,origin,0.440096328
AGM/A,origin,0.5
AGMH,origin,0.160904255
AGMpC,origin,0.974164134
AGMpD,origin,0.807514052
AGMpE,origin,0.115273775
AGMpF,origin,0.597932097
AGMpG,origin,0.359075823
AGNC,origin,0.418301967
AGNCL,origin,0.297070885
AGNCM,origin,0.626322751
AGNCN,origin,0.727408737
AGNCO,origin,0.627459276
AGNCP,origin,0.466435351
AGNG,origin,0.328888889
AGO,origin,0.520358868
AGOV,origin,1
AGOX,origin,0.583075734
AGQ,origin,0.482961945
AGR,origin,0.392694884
AGRI,origin,0.652967691
AGRO,origin,0.232129064
AGRX,origin,0.522290459
AGS,origin,0.459032491
AGTC,origin,0.302950898
AGTI,origin,0.755728913
AGX,origin,0.31304028
AGYS,origin,0.224812092
AGZ,origin,0.367755532
AGZD,origin,0.029511256
AHCO,origin,0.814581639
AHG,origin,0.347740462
AHH,origin,0.480636469
AHHpA,origin,0.483969466
AHI,origin,0.501887038
AHLpC,origin,0.150552582
AHLpD,origin,0.220900213
AHLpE,origin,0.453963458
AHOY,origin,0.999629767
AHPI,origin,0.52538787
AHT,origin,0.52722448
AHTpD,origin,0.775449102
AHTpF,origin,0.940438871
AHTpG,origin,0.596059113
AHTpH,origin,1
AHTpI,origin,0.412240185
AI,origin,0.460693561
AIA,origin,0.108374067
AIB,origin,1
AIC,origin,1
AIEQ,origin,0.070303451
AIF,origin,0.45175096
AIG,origin,0.323708681
AIGpA,origin,0.433940053
AIH,origin,0.025839793
AIHS,origin,0.799703421
AIKI,origin,0.457521202
AIM,origin,0.60206341
AIMC,origin,0.096630027
AIMD,origin,0.333561284
AIN,origin,0.736221859
AINC,origin,0.438596491
AIO,origin,0.438569539
AIP,origin,0.47278143
AIQ,origin,0.960838701
AIR,origin,0.293077139
AIRC,origin,0.551808086
AIRG,origin,0.437837838
AIRI,origin,0.257381258
AIRR,origin,0.758143436
AIRS,origin,0.68316117
AIRT,origin,0.479714668
AIRTP,origin,0.242074928
AIT,origin,0.485658826
AIU,origin,0.149806133
AIV,origin,0.510822995
AIVL,origin,0.183115339
AIZ,origin,0.419665148
AIZN,origin,0.571312143
AJG,origin,0.619252214
AJRD,origin,0.230121746
AJX,origin,0.249853372
AJXA,origin,0.562363239
AKA,origin,0.429675148
AKAM,origin,0.627872899
AKAN,origin,0.307921147
AKBA,origin,0.728652229
AKLI,origin,0.49481131
AKO/A,origin,0.173913043
AKO/B,origin,0.315449438
AKR,origin,0.756455816
AKRO,origin,0.45160426
AKTS,origin,0.26388161
AKTX,origin,0.813056073
AKU,origin,0.64292196
AKUS,origin,0.132529067
AKYA,origin,0.639369874
AL,origin,0.227687408
ALB,origin,0.585041038
ALBO,origin,0.73194697
ALC,origin,0.283620895
ALCO,origin,0.538151531
ALDX,origin,0.205230995
ALE,origin,0.413262451
ALEC,origin,0.306557788
ALEX,origin,0.674594838
ALG,origin,0.705358514
ALGM,origin,0.532635935
ALGN,origin,0.599571256
ALGS,origin,0.391043945
ALGT,origin,0.563517588
ALHC,origin,0.314518787
ALIM,origin,0.701000492
ALIT,origin,0.655193706
ALK,origin,0.421011395
ALKS,origin,0.181443951
ALKT,origin,0.399024787
ALL,origin,0.510049519
ALLE,origin,0.306030015
ALLG,origin,0.716227462
ALLK,origin,0.473906236
ALLO,origin,0.634673117
ALLpB,origin,0.421818713
ALLpG,origin,0.515922015
ALLpH,origin,0.427427194
ALLpI,origin,0.515003572
ALLR,origin,0.251510746
ALLT,origin,0.386953472
ALLY,origin,0.543807986
ALNY,origin,0.641569593
ALpA,origin,0.665307102
ALPN,origin,0.923916152
ALPP,origin,0.490419326
ALPS,origin,0.705882353
ALR,origin,0.069842024
ALRM,origin,0.708118993
ALRN,origin,0.388945824
ALRS,origin,0.718544328
ALSN,origin,0.416969651
ALT,origin,0.152469979
ALTG,origin,0.43070127
ALTGpA,origin,0.262013256
ALTL,origin,0.830945377
ALTO,origin,0.396103968
ALTR,origin,0.475244397
ALTU,origin,0.991542782
ALTUW,origin,0.64110544
ALTY,origin,0.03527138
ALV,origin,0.715868613
ALVO,origin,0.807055436
ALVR,origin,0.658737085
ALX,origin,0.52862254
ALXO,origin,0.491552161
ALYA,origin,0.858725762
ALZN,origin,0.48261646
AM,origin,0.657913274
AMAL,origin,0.446421283
AMAM,origin,0.248659917
AMAO,origin,0.239616613
AMAT,origin,0.400378875
AMAX,origin,0.459189843
AMBA,origin,0.32216856
AMBC,origin,0.403690573
AMBC/WS,origin,1
AMBO,origin,0.058284217
AMBP,origin,0.349453307
AMC,origin,0.608564914
AMCI,origin,0.500990099
AMCIW,origin,1
AMCR,origin,0.573433086
AMCX,origin,0.431763519
AMD,origin,0.464142669
AME,origin,0.544194113
AMED,origin,0.456790874
AMEH,origin,0.557296806
AMG,origin,0.451024334
AMGN,origin,0.513843865
AMH,origin,0.619386634
AMHpG,origin,0.707696433
AMHpH,origin,0.67242982
AMID,origin,0.013389711
AMJ,origin,0.421973373
AMK,origin,0.134246752
AMKR,origin,0.773507441
AMLP,origin,0.565104406
AMLX,origin,0.269226806
AMN,origin,0.519072835
AMNA,origin,0.5
AMNB,origin,0.421520237
AMND,origin,0.333333333
AMOM,origin,0.217391304
AMOT,origin,0.370730762
AMOV,origin,0.077200577
AMP,origin,0.380451056
AMPG,origin,0.470058532
AMPH,origin,0.603488736
AMPI,origin,0.14022156
AMPL,origin,0.248040734
AMPS,origin,0.820688253
AMPX,origin,0.402399217
AMPX/WS,origin,0.369115075
AMPY,origin,0.342553597
AMR,origin,0.624051458
AMRC,origin,0.666504303
AMRK,origin,0.368774988
AMRN,origin,0.203884922
AMRS,origin,0.493228321
AMRX,origin,0.313408705
AMS,origin,0.81116208
AMSC,origin,0.675379281
AMSF,origin,0.429667715
AMST,origin,0.336465527
AMSWA,origin,0.605744256
AMT,origin,0.400212655
AMTB,origin,0.277455919
AMTD,origin,0.447057681
AMTI,origin,0.062671419
AMTX,origin,0.526114744
AMUB,origin,1
AMV,origin,0.284022638
AMWD,origin,0.305956607
AMWL,origin,0.453046171
AMX,origin,0.348716288
AMYT,origin,0.427226942
AMZA,origin,0.563980228
AMZD,origin,0.33906574
AMZN,origin,0.394951094
AMZU,origin,0.653582386
AN,origin,0.5820081
ANAB,origin,0.320614977
ANDE,origin,0.486108358
ANEB,origin,0.923076923
ANET,origin,0.451644491
ANF,origin,0.308660751
ANGH,origin,0.383054263
ANGI,origin,0.600045957
ANGL,origin,0.563977395
ANGN,origin,0.045713382
